date;Italy;US;Spain;Germany;Korea, South;India
2020-01-22;0;1;0;0;1;0
2020-01-23;0;1;0;0;1;0
2020-01-24;0;2;0;0;2;0
2020-01-25;0;2;0;0;2;0
2020-01-26;0;5;0;0;3;0
2020-01-27;0;5;0;1;4;0
2020-01-28;0;5;0;4;4;0
2020-01-29;0;5;0;4;4;0
2020-01-30;0;5;0;4;4;1
2020-01-31;2;7;0;5;11;1
2020-02-01;2;8;1;8;12;1
2020-02-02;2;8;1;10;15;2
2020-02-03;2;11;1;12;15;3
2020-02-04;2;11;1;12;16;3
2020-02-05;2;11;1;12;19;3
2020-02-06;2;11;1;12;23;3
2020-02-07;3;11;1;13;24;3
2020-02-08;3;11;1;13;24;3
2020-02-09;3;11;2;14;25;3
2020-02-10;3;11;2;14;27;3
2020-02-11;3;12;2;16;28;3
2020-02-12;3;12;2;16;28;3
2020-02-13;3;13;2;16;28;3
2020-02-14;3;13;2;16;28;3
2020-02-15;3;13;2;16;28;3
2020-02-16;3;13;2;16;29;3
2020-02-17;3;13;2;16;30;3
2020-02-18;3;13;2;16;31;3
2020-02-19;3;13;2;16;31;3
2020-02-20;3;13;2;16;104;3
2020-02-21;20;15;2;16;204;3
2020-02-22;62;15;2;16;433;3
2020-02-23;155;15;2;16;602;3
2020-02-24;229;15;2;16;833;3
2020-02-25;322;15;6;17;977;3
2020-02-26;453;15;13;27;1261;3
2020-02-27;655;16;15;46;1766;3
2020-02-28;888;16;32;48;2337;3
2020-02-29;1128;24;45;79;3150;3
2020-03-01;1694;30;84;130;3736;3
2020-03-02;2036;52;120;159;4335;5
2020-03-03;2502;72;165;196;5186;5
2020-03-04;3089;103;222;262;5621;28
2020-03-05;3858;172;259;482;6088;30
2020-03-06;4636;215;400;670;6593;31
2020-03-07;5883;337;500;799;7041;34
2020-03-08;7375;450;673;1040;7314;39
2020-03-09;9172;515;1073;1176;7478;43
2020-03-10;10149;713;1695;1457;7513;56
2020-03-11;12462;1105;2277;1908;7755;62
2020-03-12;15113;1530;2277;2078;7869;73
2020-03-13;17660;2115;5232;3675;7979;82
2020-03-14;21157;2814;6391;4585;8086;102
2020-03-15;24747;2986;7798;5795;8162;113
